Día,Kc
1,0.15
2,0.15
3,0.15
4,0.15
5,0.15
6,0.15
7,0.15
8,0.15
9,0.15
10,0.15
11,0.15
12,0.15
13,0.15
14,0.15
15,0.15
16,0.15
17,0.15
18,0.15
19,0.15
20,0.15
21,0.18
22,0.21
23,0.24
24,0.26
25,0.29
26,0.32
27,0.35
28,0.38
29,0.41
30,0.43
31,0.46
32,0.49
33,0.52
34,0.55
35,0.58
36,0.6
37,0.63
38,0.66
39,0.69
40,0.72
41,0.75
42,0.77
43,0.8
44,0.83
45,0.86
46,0.89
47,0.92
48,0.94
49,0.97
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,0.95
82,0.9
83,0.85
84,0.8
85,0.75
86,0.7
87,0.65
88,0.6
89,0.55
90,0.5
