Día,Kc
1,0.15
2,0.15
3,0.15
4,0.15
5,0.15
6,0.15
7,0.15
8,0.15
9,0.15
10,0.15
11,0.15
12,0.15
13,0.15
14,0.15
15,0.15
16,0.15
17,0.15
18,0.15
19,0.15
20,0.15
21,0.18
22,0.2
23,0.23
24,0.25
25,0.28
26,0.3
27,0.33
28,0.35
29,0.38
30,0.4
31,0.43
32,0.45
33,0.48
34,0.5
35,0.53
36,0.55
37,0.58
38,0.6
39,0.63
40,0.65
41,0.68
42,0.7
43,0.73
44,0.75
45,0.78
46,0.8
47,0.83
48,0.85
49,0.88
50,0.9
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
