Día,Kc
1,0.15
2,0.15
3,0.15
4,0.15
5,0.15
6,0.15
7,0.15
8,0.15
9,0.15
10,0.15
11,0.15
12,0.15
13,0.15
14,0.15
15,0.15
16,0.15
17,0.15
18,0.15
19,0.15
20,0.15
21,0.15
22,0.15
23,0.15
24,0.15
25,0.15
26,0.15
27,0.15
28,0.15
29,0.15
30,0.15
31,0.15
32,0.15
33,0.15
34,0.15
35,0.15
36,0.17
37,0.19
38,0.21
39,0.23
40,0.26
41,0.28
42,0.3
43,0.32
44,0.34
45,0.36
46,0.38
47,0.4
48,0.42
49,0.45
50,0.47
51,0.49
52,0.51
53,0.53
54,0.55
55,0.57
56,0.59
57,0.61
58,0.64
59,0.66
60,0.68
61,0.7
62,0.72
63,0.74
64,0.76
65,0.78
66,0.8
67,0.83
68,0.85
69,0.87
70,0.89
71,0.91
72,0.93
73,0.95
74,0.97
75,0.99
76,1.02
77,1.04
78,1.06
79,1.08
80,1.1
81,1.1
82,1.1
83,1.1
84,1.1
85,1.1
86,1.1
87,1.1
88,1.1
89,1.1
90,1.1
91,1.1
92,1.1
93,1.1
94,1.1
95,1.1
96,1.1
97,1.1
98,1.1
99,1.1
100,1.1
101,1.1
102,1.1
103,1.1
104,1.1
105,1.1
106,1.1
107,1.1
108,1.1
109,1.1
110,1.1
111,1.1
112,1.1
113,1.1
114,1.1
115,1.1
116,1.1
117,1.1
118,1.1
119,1.1
120,1.1
121,1.1
122,1.1
123,1.1
124,1.1
125,1.1
126,1.1
127,1.1
128,1.1
129,1.1
130,1.1
131,1.1
132,1.1
133,1.1
134,1.1
135,1.1
136,1.1
137,1.1
138,1.1
139,1.1
140,1.1
141,1.1
142,1.1
143,1.1
144,1.1
145,1.1
146,1.1
147,1.1
148,1.1
149,1.1
150,1.1
151,1.09
152,1.07
153,1.06
154,1.05
155,1.03
156,1.02
157,1.01
158,0.99
159,0.98
160,0.97
161,0.95
162,0.94
163,0.93
164,0.91
165,0.9
166,0.89
167,0.87
168,0.86
169,0.85
170,0.83
171,0.82
172,0.81
173,0.79
174,0.78
175,0.77
176,0.75
177,0.74
178,0.73
179,0.71
180,0.7
